,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,Phone,School Website,Median starting salary of alumni ,Selectivity,Fall 2020 acceptance rate,Application deadline,SAT/ACT scores must be received by,Student-faculty ratio,4-year graduation rate,Total enrollment,Collegiate athletic association,Tuition and fees,Room and board,Students who have cars on campus,Health insurance offered,Score (out of 100),Average 6-year graduation rate (17.6%),6-year graduation rate of students who received a Pell Grant (2.5%),6-year graduation rate of students who did not receive a Pell Grant (2.5%),Classes with fewer than 20 students,Classes with 50 or more students,Student-faculty ratio (1%),Admission interview,Required standardized tests,Early decision deadline,Application fee,Common Application accepted,Deadline for housing deposit,Acceptance rate,Early decision acceptance rate,Accepting applications,Minimum credits to apply,Minimum required college GPA,Has guaranteed admission agreement with at least one other institution,Guaranteed admission agreement URL,Separate application form required,Conditional admission offered,Early decision or early action options available,TOEFL (paper),TOEFL (internet-based),Michigan Test,IELTS,SAT,ACT,Advance deposit required,TOEFL accepted instead of SAT or ACT,International student contact,Degrees offered,Combined-degree programs,Online bachelor's degree program offered,General education/core curriculum required,Awarded Pell Grants (2019-2020),Enrolled students who are veterans or active service members,Students living on- and off-campus,Air Force ROTC,Army ROTC,Navy ROTC,Net price for federal loan recipients (2018-2019) ,Go to this school's net price calculator,Institution is G.I. Bill certified,Institution participates in Yellow Ribbon Program,Typical total federal loan debt after graduation ,Typical total federal loan debt among those who did not graduate ,Typical monthly loan payment ,Undergraduates paying down their federal loan debt ,Average total indebtedness of 2020 graduating class,"Graduating students who have borrowed (any loan type, 2020)",Campus size (acres),Alcohol permitted on campus for students of legal age,Career services offered,Basic student services offered,Campus safety and security services offered,Computers available for student use in,On-campus library,Museums or special academic buildings on campus,Services for LD students,Services for physically disabled students,Accessibility of campus to physically disabled students,SATs on 1600 scale,Undergraduate men who are members of a fraternity,Undergraduate women who are members of a sorority,By major,Ten most popular majors for 2020 graduates,In-state tuition and fees,Out-of-state tuition and fees,Class Sizes,Classes with fewer than 20 students ,Classes with 50 or more students ,Class sizes,,Student participation in special academic programs,Fall 2020 acceptance rate ,Student-faculty ratio ,Student Gender Distribution,Average 6-year graduation rate (17.6%) ,Student-faculty ratio (1%) ,Acceptance rate ,Full-time faculty gender distribution,Part-time faculty gender distribution,Degree-seeking student gender distribution,Types of campus housing available,Total graduate enrollment,Median starting salary of alumni
199,"Public, Coed",1889,None,Semester,Urban,(505) 277-0111,Website,"$46,200",Selective,54%,rolling,June 15,11:1,34%,"22,244(fall 2020)",NCAA I,,"$10,262(2020-21)",N/A,Yes,50,51%,49%,56%,49.3%,10%,11:1,Neither required/recommended,Either SAT or ACT,N/A,$25,No,July 12,54%,N/A,"Fall, Spring, Summer",No,2,N/A,N/A,Yes,N/A,N/A,Considered,Considered,N/A,Considered,Considered,Considered,No,Yes,Pablo Torres Assoc Dir International Admission and Recruitment (505) 277-4032 goglobal@unm.edu,"Certificate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - other, Doctorate - research/scholarship",Master of Business Administration(MBA) with a concentration of your choice and a MA in Latin American StudiesJuris Doctor(JD)/Master of Accounting (M.Acct.)Master of Arts in Latin American Studies(MA)/Master of Public Health (MPH)Master of Business Administration(MBA)/Master of Engineering in Electrical or Computer Engineering (ME)Master of Business Administration(MBA)/Doctor of Pharmacy (Pharm. D.)Juris Doctor (JD) and Master of Public Administration (MPA)Bachelor of Business Administration/Master of Business Administration (BA/MBA)Master of Community and Regional Planning (MCRP)/M.A. in Latin American StudiesJuris Doctor(JD)/M.A.Master of Community and Regional Planning (MCRP)/ Master of Water Resources (MWR)Master of Business Administration(MBA)/Juris Doctor (JD)M.S. or Ph.D. in an academic fieldMaster of Engineering in Manufacturing Engineering/Master of Business Administration (MEME/MBA)Bachelor of Business Administration/Doctor of Medicine (BA/MD)AND 9 MORE ,Yes,Yes,50%,1.5%,,Offered on campus,Offered on campus,Offered on campus,"$14,446",Website,Yes,Yes,"$18,750","$9,983",$179,N/A,N/A,N/A,769,No,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"Maxwell Museum of Anthropology, Art Museum, Meteorite Museum, Geology Museum, Museum of Southwest Biology, Jonson Gallery Arts Museum",Remedial mathRemedial EnglishReading machinesRemedial readingVideotaped classesNote-taking servicesLearning centerReadersExtended time for testsTutorsPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 10 MORE ,Note-taking servicesTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impaired,Fully,,,,,,"$8,863(2020-21)","$24,924(2020-21)",,,,,N/A,,,,,,,,,,,,,
200,"Public, Coed",1886,None,Semester,Suburban,(307) 766-1121,Website,"$53,400",Selective,94%,Aug. 10,Aug. 10,14:1,33%,"11,829(fall 2020)",NCAA I,,"$11,144(2021-22)",N/A,Yes,50,59%,52%,61%,45.8%,11%,14:1,Neither required/recommended,N/A,N/A,$40,Yes,May 1,94%,N/A,"Fall, Spring, Summer",30,2,No,N/A,Yes,Yes,Neither early decision nor early action,Required,Required,N/A,Required,Considered,Considered,Yes,Yes,Jill Johnson Director International Students and Scholars (307) 766-5193 uwglobal@uwyo.edu,"Certificate, Bachelor's, Post-bachelor's certificate, Master's, Doctorate - professional practice, Doctorate - research/scholarship",BS/MS in engineering fieldsCombined BS in most majors with environmental and natural resources,No,Yes,21%,N/A,,Offered on campus,Offered on campus,Not offered,"$12,159",Website,Yes,Yes,"$18,356","$7,577",$175,N/A,"$23,510",48%,"2,021",Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"American Heritage Center, Anthropology Museum, Art Museum, Geological Museum, Insect Museum, Planetarium, Rocky Mountain Herbarium, Williams Botany Conservatory, UW Museum of Vertebrates, Wyoming Sensory Biology Center.",Reading machinesNote-taking servicesLearning centerReadersExtended time for testsPriority registrationPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 6 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,"$6,097(2021-22)","$20,647(2021-22)",,,,,,,,,,,,,,,,,,
201,"Public, Coed",1918,None,Semester,Suburban,(765) 289-1241,Website,"$44,300",Selective,69%,Aug. 10,Aug. 1,14:1,54%,"21,597(fall 2020)",NCAA I,,"$10,904(2021-22)",36%,Yes,49,64%,58%,71%,37.6%,7%,14:1,Neither required/recommended,Either SAT or ACT required for some,N/A,$60,No,June 3,69%,N/A,"Fall, Spring, Summer",No,2,Yes,Website,Yes,Yes,Neither early decision nor early action,Considered,Recommended,N/A,Recommended,Considered,Considered,No,Yes,Alfredo Varela Director of International Services (765) 285-5422 alfredo.varela@bsu.edu,"Certificate, Associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",BA/BS Elem Ed/Special Education,Yes,Yes,34%,0.7%,,Not offered,Offered on campus,Not offered,"$15,147",Website,Yes,Yes,"$23,500","$7,500",$224,N/A,"$28,458",70%,"1,180",N/A,on-campus job interviewsinternshipsresume assistancealumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"13 LEED certified buildings;Brown Planetarium;Dehority Hall;E. F. Ball Medical Education Building;Glick Center for Glass;Gora Student Recreation Center;Kitselman Center;Applied Technology Building;Health Professions Building;Kinghorn Hall;Letterman Communication and Media Building;Bingham Hall Medical Education Building;North Residence Hall;Park Hall;Rinard Orchid Greenhouse;Studebaker Hall, East;Sursa Performance Hall;Whitinger Business Building;",Reading machinesNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsPriority registrationExams on tape or computerOther testing accommodationsWaiver of foreign language degree requirementAND 6 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Fully,,,,,,"$10,248(2021-22)","$27,406(2021-22)",,,,,,,,,,,,,,,,,,
202,"Private, Coed",1950,Roman Catholic,Semester,Urban,(502) 272-8000,Website,"$48,100",Selective,82%,Aug. 15,Aug. 15,13:1,55%,"3,293(fall 2020)",NCAA I,"$44,520(2021-22)","$9,030(2021-22)",N/A,No,49,66%,50%,71%,59.1%,2%,13:1,Recommended,Either SAT or ACT required for some,N/A,$25,Yes,May 1,82%,N/A,"Fall, Spring, Summer",No,2,No,N/A,Yes,N/A,N/A,Required,Required,Required,Required,Considered,Considered,N/A,Yes,Dr. Patrick Englert Associate Vice President for Student Affairs (502) 272-8323 penglert@bellarmine.edu,"Certificate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - other, Doctorate - research/scholarship",BA in Exercise Science/MS in Athletic TrainingBHS in Medical Laboratory Science/MHS in Healthcare LeadershipBS in Medical Laboratory Science/MHS in Healthcare LeadershipBA or BS (any major)/MS in Digital Media or MS in CommunicationBA or BS (any major)/MA in CommunicationBA or BS (specific content applies)/MAT in Secondary or Middle Grades EducationBA in Exercise Science/MHS in Health Promotion and Social ChangeBA or BS (any major)/MBA,No,Yes,23%,1.7%,,Offered at cooperating institution,Offered at cooperating institution,Not offered,"$23,121",Website,Yes,Yes,"$25,000","$5,768",$239,N/A,"$32,606",71%,145,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth service,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Thomas Merton (1915-1968), known in religion as Father Louis, was a Trappist monk of the Cistercian Abbey of Gethsemani near Bardstown, Kentucky. The Merton Center, located at Bellarmine University, has grown to over fifty thousand items, including the literary estate, fifteen thousand pieces of correspondence, nine hundred drawings and eleven hundred photographs. It is the largest Merton collection in the world.",Reading machinesDiagnostic testing serviceUntimed testsNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingProofreading servicesSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 12 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
203,"Private, Coed",1871,Baptist,4-1-4,Suburban,(651) 638-6400,Website,"$49,700",More selective,87%,rolling,N/A,12:1,64%,"4,149(fall 2020)",NCAA III,"$40,080(2021-22)","$11,150(2021-22)",55%,Yes,49,74%,67%,77%,59.6%,1%,12:1,Recommended,Either SAT or ACT required for some,N/A,N/A,Yes,N/A,87%,N/A,"Fall, Winter, Spring",10,2.5,No,N/A,No,Yes,Neither early decision nor early action,Recommended,Recommended,N/A,Recommended,Recommended,Recommended,No,Yes,Kyle Peach Admissions Counselor (651) 638-6242 undergrad-admissions@bethel.edu,"Certificate, Associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",N/A,Yes,Yes,25%,2.4%,,Offered at cooperating institution,Offered at cooperating institution,Not offered,"$25,191",Website,Yes,Yes,"$21,500","$10,167",$205,N/A,"$38,086",73%,245,No,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,Eugene Johnson Art Gallery; Olson Art Gallery,Reading machinesVideotaped classesOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingProofreading servicesSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsWaiver of foreign language degree requirementAND 11 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,N/A,,,,,,,,,,,,
204,"Public, Coed",1887,None,Semester,City,(850) 599-3000,Website,"$48,300",Selective,33%,May 1,July 15,14:1,21%,"9,184(fall 2020)",NCAA I,,"$10,986(2021-22)",N/A,Yes,49,52%,55%,59%,40.4%,7%,14:1,Neither required/recommended,Either SAT or ACT,Nov. 1,$35,No,June 1,33%,N/A,"Fall, Spring, Summer",12,2.5,Yes,Website,Yes,No,Both early decision and early action,Required,Required,N/A,Required,Required,Required,Yes,No,Paula S. Gomez International Admissions Coordinator (850) 599-3562 paula.gomez@famu.edu,"Associate, Bachelor's, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",Doctor of Pharmacy and Master of Business AdministrationMaster of Science (Facilities Management) and a Bachelor of Architecture,No,Yes,62%,0.2%,,Offered at cooperating institution,Offered on campus,Offered on campus,"$15,060",Website,Yes,Yes,"$25,000","$12,250",$239,N/A,"$26,819",82%,422,No,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,Carrie Meek-James N Eaton Sr. Southeastern Regional Black Archives Research Center and Museum; Office of Instructional Technology and Instructional Media Center,Remedial mathRemedial EnglishRemedial readingDiagnostic testing serviceNote-taking servicesOral testsReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsAND 11 MORE ,Note-taking servicesSpecial transportationTape recordersTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,"$5,785(2021-22)","$17,725(2021-22)",,,,,,,,,,,,,,,,,,
205,"Private, Coed",1958,None,Semester,Suburban,(321) 674-8000,Website,"$59,700",More selective,70%,N/A,N/A,15:1,43%,"6,795(fall 2020)",NCAA II,"$43,246(2021-22)","$13,396(2021-22)",N/A,Yes,49,60%,55%,62%,56.7%,6%,15:1,Recommended,Either SAT or ACT,N/A,N/A,Yes,May 1,70%,N/A,"Fall, Spring, Summer",24,2,No,N/A,No,No,N/A,Considered,Required,N/A,Required,Considered,Considered,No,No,Jackie Lingner Director of International Student Services (321) 674-8053 jlingner@fit.edu,"Certificate, Associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - other, Doctorate - research/scholarship",N/A,Yes,Yes,N/A,4.5%,,Not offered,Offered on campus,Not offered,"$31,097",Website,Yes,Yes,"$26,895","$9,500",$257,N/A,"$35,800",47%,174,Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterview training,nonremedial tutoringhealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Center for Aeronautics & Innovation, Joy and Gordon Patterson Botanical Garden, Charles and Ruth Clemente Center for Sports and Recreation, Buehler Center for Aviation Training and Research, Scott Center for Autism Treatment, L3Harris Center for Science and Engineering, Panther Aquatic Center, L3Harris Commons, L3Harris Student Design Center, Anthony J. Catanese Varsity Training Center, Aldrin Space Institute, F.W. Olin Engineering Complex and new Health Sciences Research Center in progress",Remedial mathRemedial EnglishNote-taking servicesLearning centerReadersExtended time for testsTutorsPriority registrationPriority seatingProofreading servicesTypist/scribeExams on tape or computerOther testing accommodationsAND 8 MORE ,Note-taking servicesSpecial housingTutorsAdaptive equipmentReader servicesInterpreters for hearing-impaired,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
206,"Private, Coed",1868,None,Semester,Urban,(757) 727-5000,Website,"$52,600",Selective,36%,March 1,June 15,15:1,41%,"3,516(fall 2020)",NCAA I,"$29,287(2021-22)","$12,986(2021-22)",0%,Yes,49,59%,54%,64%,57.7%,5%,15:1,Neither required/recommended,Either SAT or ACT required for some,N/A,$50,Yes,May 1,36%,N/A,"Fall, Spring",15,2.5,Yes,Website,No,No,Neither early decision nor early action,Required,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Mrs. Georgiana Lau International Office Secretary (757) 728-6914 internationaloffice@hamptonu.edu,"Certificate, Associate, Bachelor's, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",Business AdministrationMathematicsMusicBiologyPsychologyArchitecture,Yes,Yes,35%,4%,,Not offered,Offered on campus,Offered on campus,"$31,307",Website,Yes,Yes,"$26,000","$9,500",$248,N/A,"$31,359",81%,314,No,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrols24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,"Hampton Univ. Museum; Emancipation Oak, one of the Great Trees of the World National Landmarks; Mansion House, 1828; Virginia Cleveland, 1874; Wigwam Building, 1878; Academic Building, 1881; Memorial Chapel, 1886; Hampton University Proton Therapy Institute, 2010; Legacy Park",Remedial mathRemedial EnglishRemedial readingDiagnostic testing serviceUntimed testsNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingSubstitution of coursesOther testing accommodationsAND 11 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
207,"Public, Coed",1857,None,Semester,Urban,(309) 438-2181,Website,"$49,200",Selective,81%,April 1,July 15,19:1,50%,"20,720(fall 2020)",NCAA I,,"$9,850(2021-22)",N/A,Yes,49,69%,56%,73%,38.3%,10%,19:1,Neither required/recommended,Either SAT or ACT,N/A,$50,No,N/A,81%,N/A,"Fall, Spring, Summer",No,2,Yes,Website,N/A,Yes,N/A,Required of some,Required of some,N/A,Required of some,Required of some,Required of some,No,No,Aubrey Wagoner Coordinator International Student and Scholar Services (309) 438-5112 internationalstudents@ilstu.edu,"Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - research/scholarship",BS/MPA in Professional Accountancy,Yes,Yes,29%,2.1%,,Not offered,Offered on campus,Not offered,"$20,895",Website,Yes,No,"$19,500","$7,500",$186,N/A,"$30,588",68%,"1,180",Yes,internshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"University Galleries is one of the most active public exhibition spaces in downstate Illinois. Their exhibitions provide a wide yet critical survey of contemporary art, and feature both emerging and mid-career artists, often those whose work has not been exposed in an in-depth manner. University Galleries has also published 53 monographs and catalogues that are distributed internationally. Their programming has received national recognition from Artforum, ARTnews, and Observer, among others.",Remedial mathNote-taking servicesReadersExtended time for testsTutorsPriority registrationPriority seatingTypist/scribeExams on tape or computerOther testing accommodationsAND 5 MORE ,Note-taking servicesSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,"$14,757(2021-22)","$26,281(2021-22)",,,,,,,,,,,,,,,,,,
208,"Private, Coed",1912,Roman Catholic,Semester,Urban,(504) 865-2011,Website,"$44,600",Selective,72%,rolling,N/A,13:1,50%,"4,496(fall 2020)",NAIA,"$43,498(2021-22)","$13,992(2021-22)",25%,Yes,49,60%,52%,63%,37.9%,2%,13:1,Recommended,Neither SAT nor ACT,N/A,N/A,Yes,May 15,72%,N/A,"Fall, Spring, Summer",12,2.2,Yes,Website,No,Yes,Both early decision and early action,Recommended,Recommended,N/A,Recommended,Recommended,Recommended,No,Yes,Mariette Thomas Director Center for International Education (504) 864-7550 mlthoma1@loyno.edu,"Associate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice, Doctorate - other",Religious Studies (BA to MRE)Business (BBA to MBA)Nursing (BSN to MSN)Religious Studies (BA to MPS)Law (BA to JD or LLB)Nursing (BSN to DNP)Nursing (RN to BSN),Yes,Yes,36%,0.9%,,Offered at cooperating institution,Offered at cooperating institution,Offered at cooperating institution,"$21,486",Website,Yes,Yes,"$26,000","$8,750",$248,N/A,"$28,166",74%,26,Yes,on-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringwomen's centerplacement serviceday carehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksStudent patrolsControlled dormitory access (key, security card, etc.)",N/A,Yes,"Art Gallery, Humanities Lab w/Perseus Project & TLG TV, Multimedia Classrooms,
Studio, and Exhibit Rooms; 24-hour Microcomputer Labs, Computer Science Lab,
Graphics & Visual Arts Lab, Ad Club/Cmmn Lab, RATHE Bsn. Computer Lab, Multi-Media Training Ctr, Donnelley Ctr for Non-Profit Communications, Chemistry Wing,
Television Broadcast Studio, Audio Recording & Editing Studio, Library Learning
Commons, Performance Area, Center for Internl Ed., Jesuit Social Research Inst.,Learning Communities.",Untimed testsNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsEarly syllabusPriority registrationPriority seatingSubstitution of coursesTypist/scribeExams on tape or computerOther testing accommodationsWaiver of foreign language degree requirementWaiver of math degree requirementAND 11 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesBraille servicesInterpreters for hearing-impairedTalking books,Mostly,,,,,,,,,,,,,,,,,,,,,,,,,
209,"Private, Coed",1872,None,Semester,Suburban,(800) 627-9855,Website,"$46,400",Selective,95%,Aug. 28,Aug. 15,13:1,56%,"10,979(fall 2020)",NCAA II,"$27,166(2021-22)","$12,000(2021-22)",52%,Yes,49,73%,85%,71%,66.2%,1%,13:1,N/A,Either SAT or ACT required for some,N/A,N/A,Yes,N/A,95%,N/A,"Fall, Spring, Summer",30,2,Yes,Website,Yes,Yes,N/A,Required of some,Required of some,N/A,Required of some,N/A,N/A,No,N/A,Lauren Repp Director International Admissions Enrollment (314) 529-6857 lrepp@maryville.edu,"Certificate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice",Psychology/SociologySecondary Education Bridge (Secondary Licensure)Dual Degree Engineering Program with Washington University3/2 Elementary Education/Psychology program with BA and MAED degree3/2 Elementary/Early Childhood Education program with BA and MAED degree,Yes,Yes,39%,4.9%,,Not offered,Offered at cooperating institution,Not offered,"$29,064",Website,Yes,Yes,"$23,250","$8,750",$222,N/A,"$33,264",63%,130,Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,Art Galleries; University Auditorium; Clinical Laboratories; Education Laboratory; Art and Design Laboratories and Workshops; Computer laboratory; Cybersecurity laboratory,Reading machinesNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsPriority seatingTypist/scribeExams on tape or computerOther testing accommodationsAND 6 MORE ,Note-taking servicesSpecial transportationTape recordersSpecial housingTutorsAdaptive equipmentReader servicesInterpreters for hearing-impairedTalking books,Fully,,,,,,,,,,,,,,,,,,,,,,,,,
210,"Private, Coed",1924,Roman Catholic,Semester,Suburban,(866) 262-6363,Website,"$45,300",Selective,83%,N/A,N/A,10:1,67%,"2,398(fall 2020)",NCAA III,"$35,940(2021-22)","$14,520(2021-22)",N/A,Yes,49,72%,72%,75%,55%,0%,10:1,Recommended,Neither SAT nor ACT,N/A,$35,Yes,May 1,83%,N/A,"Fall, Spring, Summer",12,2,No,N/A,No,No,Neither early decision nor early action,Considered,Required,N/A,N/A,N/A,N/A,Yes,Yes,Glenn Bozinski Vice President of Enrollment Management (570) 674-6400 admiss@misericordia.edu,"Certificate, Bachelor's, Post-bachelor's certificate, Master's, Post-master's certificate, Doctorate - professional practice",BA to MA in English is a five-year program in which students complete a four-year Bachelor of Arts degree in English at Misericordia and a one-year Master of Arts degree in English Language and Literature at the University of Reading in the United Kingdom,No,Yes,26%,0.9%,,Offered at cooperating institution,Offered at cooperating institution,Not offered,"$25,510",Website,Yes,Yes,"$27,000","$8,750",$258,N/A,"$45,238",80%,129,Yes,co-op educationon-campus job interviewsinternshipsresume assistancecareer/job search classesalumni networkinterest inventoryinterview training,nonremedial tutoringplacement servicehealth servicehealth insurance,"24-hour foot and vehicle patrolsLate night transport/escort service24-hour emergency telephonesLighted pathways/sidewalksControlled dormitory access (key, security card, etc.)",N/A,Yes,N/A,Reading machinesNote-taking servicesOral testsLearning centerReadersExtended time for testsTutorsPriority registrationPriority seatingTypist/scribeExams on tape or computerAND 6 MORE ,Note-taking servicesTape recordersSpecial housingTutorsAdaptive equipmentReader servicesTalking books,Mostly,N/A,,,,,,,,,,,,,,,,,,,,,,,,
